,furnishing,bathrooms,facing,security_numeric,price_numeric,built_up_area_numeric_in_sq_ft,balcony_numeric,floor_number,total_floors,age_numeric,AC,Bed,CCTV,Cupboard,Fridge,Geyser,Intercom,Microwave,Not Found,Sofa,Stove,TV,Washing Machine,+10,+2,+5,+7,Garden,Gas Pipeline,Gated Community,Gym,Intercom,Kids Area,Lift,Not Found,Parking,Pet Allowed,Pool,Power Backup,Sports Facility,Water Supply
0,Unfurnished,2,North-East,150000.0,74000,850,0,5,22,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
1,Unfurnished,1,South,100000.0,45000,367,1,10,16,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1
2,Fully Furnished,2,East,300000.0,95000,804,0,2,49,6,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
3,Unfurnished,2,West,100000.0,48000,930,0,3,4,15,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1
5,Unfurnished,2,East,500000.0,95000,1000,1,7,15,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,Fully Furnished,2,West,250000.0,67000,850,0,8,16,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1
7,Semi Furnished,2,North-East,200000.0,61000,750,0,7,12,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,Fully Furnished,2,North-East,240000.0,80000,930,0,6,13,4,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
9,Semi Furnished,2,East,270000.0,135000,750,1,4,6,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,Fully Furnished,2,North-East,240000.0,80000,930,0,6,13,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
11,Fully Furnished,2,West,250000.0,125000,1100,0,2,5,10,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
12,Semi Furnished,2,South-East,200000.0,70000,1000,0,5,8,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,Semi Furnished,2,East,250000.0,82000,1450,1,11,14,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1
14,Unfurnished,2,East,300000.0,125000,1150,1,15,35,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,Fully Furnished,3,West,300000.0,110000,1500,1,0,7,15,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
16,Fully Furnished,4,North,700000.0,175000,2500,0,14,21,16,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
17,Fully Furnished,2,North-East,200000.0,75000,1020,1,5,7,10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1
18,Fully Furnished,2,North-West,130000.0,40000,615,0,10,12,16,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
19,Unfurnished,2,North,150000.0,44000,415,1,10,13,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,Unfurnished,2,East,200000.0,73000,576,0,6,16,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1
21,Semi Furnished,2,North-East,190000.0,65000,830,0,12,15,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
22,Semi Furnished,2,North-East,229999.99999999997,75000,990,0,11,16,5,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
23,Fully Furnished,2,North-East,240000.0,80000,930,0,6,13,4,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
24,Unfurnished,2,North,140000.0,71000,700,0,8,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,Semi Furnished,2,East,270000.0,135000,750,1,4,6,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,Semi Furnished,2,North-East,190000.0,65000,830,0,12,15,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
28,Fully Furnished,2,North-East,240000.0,80000,930,0,6,13,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
29,Semi Furnished,2,North-East,229999.99999999997,75000,990,0,11,16,5,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
30,Fully Furnished,2,West,300000.0,84000,950,0,2,12,4,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
31,Fully Furnished,2,West,250000.0,125000,1100,0,2,5,10,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
32,Unfurnished,4,North,350000.0,175000,1600,0,15,36,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
33,Unfurnished,3,East,700000.0,175000,1350,1,14,42,2,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
34,Fully Furnished,2,West,240000.0,120000,900,1,6,8,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35,Fully Furnished,2,South,200000.0,65000,910,0,8,12,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,Fully Furnished,2,East,250000.0,79000,950,0,3,16,25,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1
37,Semi Furnished,2,East,150000.0,45000,650,0,2,8,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1
38,Fully Furnished,6,East,1200000.0,375000,3200,1,35,42,3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
39,Semi Furnished,3,North-East,500000.0,150000,1295,1,12,36,14,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
40,Fully Furnished,2,North,180000.0,65000,930,1,3,10,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,Semi Furnished,2,South-East,200000.0,70000,1000,0,5,8,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42,Fully Furnished,2,North-East,250000.0,82017,930,0,14,22,4,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
43,Fully Furnished,2,East,200000.0,60000,900,0,1,4,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,Fully Furnished,2,East,100000.0,45000,450,0,5,16,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,Semi Furnished,2,South-East,150000.0,50000,600,0,2,21,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1
